TOT_POP,POP_ESTIMATE_2018,Obesity_number,Heart disease_number,CKD_number,charges
481857.0,481857.0,117647.0,22273.0,9872.0,139527
3343364.0,3343364.0,631650.0,139723.0,70932.0,893601
84203.0,84203.0,27365.0,6804.0,2393.0,37210
359977.0,359977.0,110189.0,32863.0,12360.0,152080
13773.0,13773.0,3728.0,862.0,354.0,4805
7720.0,7720.0,2099.0,416.0,183.0,2663
12287.0,12287.0,3634.0,816.0,344.0,4766
42057.0,42057.0,12882.0,2699.0,1001.0,16502
13953.0,13953.0,3791.0,1072.0,389.0,5428
2074.0,2074.0,453.0,150.0,62.0,661
149960.0,149960.0,34259.0,5584.0,2572.0,42149
2042.0,2042.0,647.0,181.0,73.0,849
5899.0,5899.0,1825.0,369.0,149.0,2123
187149.0,187149.0,44687.0,10739.0,4124.0,62241
28248.0,28248.0,9852.0,1980.0,873.0,12530
80695.0,80695.0,23238.0,4930.0,1978.0,29627
286419.0,286419.0,66612.0,14180.0,6268.0,87240
5779.0,5779.0,1693.0,436.0,181.0,2252
160137.0,160137.0,35650.0,7913.0,3420.0,46550
805.0,805.0,236.0,64.0,25.0,303
70675.0,70675.0,16086.0,3433.0,1476.0,20912
35774.0,35774.0,11257.0,3312.0,1178.0,15993
34475.0,34475.0,8115.0,1886.0,822.0,11022
70422.0,70422.0,14813.0,3605.0,1527.0,20697
62249.0,62249.0,19562.0,4960.0,2111.0,27366
29503.0,29503.0,8188.0,2232.0,835.0,11774
6488.0,6488.0,1949.0,461.0,179.0,2438
19386.0,19386.0,6816.0,1413.0,630.0,8621
547538.0,547538.0,157746.0,43089.0,16623.0,214418
22596.0,22596.0,7009.0,1394.0,623.0,9101
161355.0,161355.0,32902.0,8030.0,3435.0,44103
27591.0,27591.0,7477.0,1953.0,985.0,11029
6628.0,6628.0,1671.0,464.0,173.0,2376
4664.0,4664.0,1349.0,347.0,134.0,1769
20298.0,20298.0,6333.0,1390.0,576.0,8764
52014.0,52014.0,13615.0,1936.0,864.0,16081
44161.0,44161.0,12732.0,3295.0,1194.0,16674
12691.0,12691.0,4155.0,954.0,456.0,5496
36968.0,36968.0,9076.0,2673.0,1106.0,12585
56195.0,56195.0,16032.0,4315.0,1653.0,21897
15695.0,15695.0,4745.0,815.0,382.0,5885
399182.0,399182.0,103296.0,18102.0,7497.0,130626
43734.0,43734.0,12793.0,3330.0,1179.0,17760
5546.0,5546.0,1310.0,312.0,124.0,1643
19807.0,19807.0,6561.0,1805.0,777.0,9130
12288.0,12288.0,3125.0,712.0,287.0,4283
179436.0,179436.0,47861.0,8363.0,3783.0,61039
8645.0,8645.0,2482.0,577.0,224.0,3074
9036.0,9036.0,2549.0,690.0,298.0,3604
14465.0,14465.0,5068.0,1205.0,497.0,6690
94016.0,94016.0,28056.0,6246.0,2711.0,36526
52516.0,52516.0,15335.0,3973.0,1473.0,20706
20611.0,20611.0,5295.0,1765.0,666.0,7761
15951.0,15951.0,4544.0,1052.0,422.0,6029
107239.0,107239.0,22757.0,5435.0,2266.0,32101
18691.0,18691.0,5101.0,1512.0,566.0,7171
1034.0,1034.0,259.0,79.0,31.0,350
217522.0,217522.0,52737.0,11305.0,5923.0,67959
57686.0,57686.0,15404.0,3125.0,1217.0,19641
56682.0,56682.0,17493.0,3812.0,1312.0,22543
102793.0,102793.0,19401.0,4705.0,2054.0,25108
48649.0,48649.0,9646.0,2625.0,1102.0,12601
45129.0,45129.0,12869.0,3882.0,1442.0,18613
2213.0,2213.0,551.0,147.0,57.0,721
514631.0,514631.0,129387.0,25990.0,11687.0,164540
62190.0,62190.0,15272.0,2783.0,1215.0,19050
2131.0,2131.0,560.0,124.0,49.0,743
465861.0,465861.0,113055.0,22248.0,11444.0,138599
64227.0,64227.0,16541.0,4375.0,1724.0,21569
13308.0,13308.0,4226.0,1190.0,490.0,6010
17769.0,17769.0,5245.0,1411.0,536.0,7186
51323.0,51323.0,15245.0,3505.0,1277.0,20021
62567.0,62567.0,15056.0,3327.0,1338.0,20445
2664.0,2664.0,758.0,201.0,77.0,1039
10673.0,10673.0,2845.0,886.0,312.0,4155
4833.0,4833.0,929.0,299.0,132.0,1343
1516.0,1516.0,462.0,136.0,52.0,642
9605.0,9605.0,1901.0,492.0,223.0,2543
118189.0,118189.0,30314.0,6368.0,2728.0,39665
92176.0,92176.0,25104.0,6260.0,2336.0,31621
46222.0,46222.0,11689.0,3391.0,1296.0,16831
44593.0,44593.0,13081.0,2703.0,1063.0,17393
7063.0,7063.0,1959.0,470.0,183.0,2418
2252.0,2252.0,736.0,223.0,87.0,1042
5190.0,5190.0,1422.0,394.0,160.0,1861
20468.0,20468.0,6990.0,2024.0,684.0,9782
17150.0,17150.0,5152.0,1338.0,470.0,7077
21515.0,21515.0,7195.0,1463.0,689.0,9035
43327.0,43327.0,10984.0,2926.0,1153.0,15791
37320.0,37320.0,10108.0,2698.0,1009.0,14540
37253.0,37253.0,9745.0,2371.0,922.0,13841
37317.0,37317.0,10641.0,2905.0,1020.0,15124
22983.0,22983.0,6900.0,1906.0,690.0,9067
31729.0,31729.0,7078.0,2633.0,1077.0,9616
16249.0,16249.0,4539.0,805.0,332.0,5262
32358.0,32358.0,9362.0,2820.0,1022.0,12813
128607.0,128607.0,32590.0,8520.0,3218.0,43675
9398.0,9398.0,2712.0,710.0,296.0,3865
507078.0,507078.0,114852.0,25870.0,11719.0,153794
15985.0,15985.0,4423.0,884.0,372.0,5337
8924.0,8924.0,2470.0,909.0,306.0,3677
30100.0,30100.0,8671.0,2282.0,815.0,12500
32384.0,32384.0,10808.0,2308.0,857.0,14644
47823.0,47823.0,12077.0,2702.0,1078.0,15781
6907.0,6907.0,2018.0,522.0,201.0,2789
2278906.0,2278906.0,460574.0,112422.0,54827.0,661141
